cik,equity_id
20,48273010
1750,36110
1761,89412010
1800,86070356
1853,305010
1923,378810
1961,98159J10
1969,3109510
1985,429910
2034,444610
2062,461620
2066,462610
2070,464410
2093,472410
2098,481610
2135,819010
2145,504110
2178,635130
2186,301733
2230,621210
2308,18272010
2310,172510
2435,738310
2457,00750D10
2488,33268593
2491,05874B10
2589,769210
2601,776810
2648,814010
2668,13180500
2809,847410
2969,915810
3000,926610
3116,972810
3124,1019930
3133,3216510
3153,1039267
3197,733112
3202,1165910
3292,1204110
3303,1234810
3327,1307810
3333,1310410
3370,45171320
3398,1408610
3449,1447610
3453,57686G10
3499,1475210
3545,410600
3570,16411R20
3642,1675210
3662,86707110
3673,1736110
3721,1809110
3753,1775310
3845,1903710
3906,01903Q10
3941,1941110
3952,19483106
3959,46058X10
3982,1964540
4123,80639810
4127,15133880
4164,2082510
4165,42550210
4187,45631410
4281,1381710
4285,1371610
4310,2261510
4317,94311218
4344,8658420
4363,2312710
4427,2390510
4447,2355110
4457,2358610
4507,68417710
4570,20407640
4611,2459140
4672,2476310
4707,2489810
4811,2523610
4829,2532110
4904,36630319
4911,103020
4960,25848630
4962,54582191
4977,105510
5009,2604210
5016,2608780
5094,46132L10
5099,92095610
5103,2635110
5115,92113B10
5117,29246810
5133,2637510
5172,26522
5177,2342670
5187,2660910
5227,2675910
5272,2687478
5320,3234330
5337,2706950
5385,2725810
5405,2733920
5513,91529Y10
5588,2881610
5611,31734L10
5656,02687C10
5657,2906910
5696,2351730
5768,743453
5818,2960910
5907,195740
5981,3037110
6019,10644010
6071,3078950
6082,3110510
6164,3189710
6176,3203710
6201,176586
6207,3215910
6260,3237110
6281,15828824
6284,3265720
6292,3268120
6314,3274410
6383,61945R10
6413,3361810
6494,3439310
6571,3466310
6715,3677610
6720,48273210
6732,53630T10
6769,3741110
6814,20038K10
6845,3759810
6879,3773586
6885,85254C30
6948,3821310
6951,3822210
6955,00508X20
7039,3846510
7084,94311218
7286,4055583
7302,1079010
7314,65541910
7323,29364D83
7332,84546710
7346,4132710
7383,4217010
7431,04247X10
7533,4272710
7536,4273510
7610,4314210
7623,4316810
7636,4333910
7645,205010
7649,4341310
7694,4420910
7789,4548710
7951,77060910
7974,4600810
8038,4635720
8063,4643310
8065,4646510
8109,4746510
8117,4748310
8137,4762010
8146,04638F10
8154,4775310
8302,4937110
8328,03823M10
8411,5009510
8462,5104210
8497,04621m10
8504,29275820
8565,81173336
8598,5272510
8643,58493110
8670,5301510
8699,4216710
8802,5355510
8818,5361110
8855,2728410
8858,5380710
8868,5430310
8919,5468110
8947,5482510
8960,8172110
9092,5652510
9096,5654310
9235,05548G10
9263,5714910
9326,5766520
9342,5774110
9346,5775520
9389,5849810
9435,05873c10
9442,26357210
9466,5916510
9521,5969510
9534,5981510
9548,6007710
9626,6405710
9631,6414910
9659,82668110
9664,91120020
9672,6605010
9677,55640000
9749,6636510
9779,30369810
9801,6682110
9892,6738310
9984,6780610
10012,6805510
10048,6822110
10081,6830610
10119,6850960
10242,6977920
10254,27032D30
10329,7020310
10427,7170710
10456,27516759
10488,7261260
10497,7272310
10624,7390210
10795,7588710
11027,14309310
11199,8143710
11390,8264110
11454,8373910
11544,8442310
11806,8652210
11814,8658110
11821,8655310
11825,8658110
11860,8750910
11884,8777910
11913,8783010
12040,33851710
12180,79587000
12203,67136510
12208,90572207
12239,84842R30
12245,9076310
12355,9179710
12388,9203610
12400,9211310
12570,52952910
12614,9353210
12654,9364410
12659,9367110
12707,9517320
12779,9600510
12927,9702310
12933,51841410
12978,9738310
13006,17253C10
13021,5528310
13033,13322130
13055,52464N10
13156,36318P10
13191,9925710
13239,9959910
13372,10059984
13522,76165530
13547,59114220
13573,10256510
13606,96380110
13610,10304310
13777,10458010
13824,5592510
14029,10706110
14073,10733610
14177,10876310
14195,10904310
14272,11247950
14280,57090710
14525,11425910
14550,11439410
14611,1339410
14637,5596640
14661,517865
14693,11563710
14707,11565710
14803,11566020
14827,11588510
14846,5564530
14920,11688110
14930,11704310
14957,11742110
14971,11754710
14995,160750
15354,55949220
15393,12116410
15486,12136210
15615,57632310
15678,42032320
15836,12364910
15840,12365510
15847,12372010
16040,12705510
16058,12719030
16095,12769510
16099,54928210
16104,12770310
16121,20164710
16160,12803020
16343,70335220
16357,13044210
16387,14092010
16422,13078910
16496,13135210
16590,13200810
16614,13261810
16732,13442910
16741,27031910
16754,2052703
16804,13523110
16847,13606910
16859,55271X20
16868,13637510
16873,17282330
16875,13645T10
16918,21036P10
16988,13800630
17109,13986110
17147,14010510
17206,74406110
17313,14050110
17385,14064010
17485,53012L10
17732,14349510
17797,14414170
17843,14428510
18000,14628510
18061,685897
18072,94311218
18122,J0525013
18169,25660510
18172,14841110
18180,14844310
18230,14912310
18255,14920510
18349,87161C10
18366,12484510
18396,12507110
18443,15087010
18497,15131040
18498,37153210
18508,34546910
18530,15166320
18532,15231210
18540,15235710
18568,2049H109
18605,15314110
18647,12541M10
18651,15364588
18654,02361D50
18672,15389760
18675,12588710
18748,15512310
18783,15541110
18808,15577110
18827,28263610
18886,15659110
18914,15667110
18926,15670010
18937,15671010
19002,23254k10
19149,15852010
19150,15852510
19161,15860910
19252,15942020
19353,16113310
19411,55907920
19446,13809810
19481,81369Y40
19489,16161010
19520,16245610
19584,16359R10
19612,16373110
19617,26382438
19704,16454140
19731,16515910
19745,910239
19871,16808810
19913,16862810
20041,17026810
20067,17052010
20104,17081910
20171,16919992
20199,17136610
20212,17148410
20232,17160510
20286,11738008
20290,17207050
20388,12557710
20405,17303410
